Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание
Ф552РА;Вентилятор осевой вытяжной ;Import;Модульные системы вентиляции;;546,75;539,45;1;;;шт;img256;0;
Ф552ИБ;Решетка металлическая с москитной сеткой 300х300мм;Import;Модульные системы вентиляции;;417,55;412,97;2;;;шт;;0;
Ф552ДР;Решетка наклонная круглая D125;Import;Модульные системы вентиляции;;82,75;81,4;8;;;шт;;0;
Ф552АШ;Решетка радиаторная коричневая 450х133мм;Import;Модульные системы вентиляции;;108,4;106,24;1;;;шт;;0;
