Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание
Б0001471;Вентилятор осевой вытяжной с сеткой D 125 (ERA 5S);Import;Модульные системы вентиляции;;346,75;339,45;1;;;шт;_MG_8088;0;
Б0001461;Решетка металлическая с москитной сеткой 300х300мм  (3030МЭ);Import;Модульные системы вентиляции;;217,55;212,97;2;;;шт;;0;
Б0001466;Решетка наклонная круглая D125, D50 (12РК);Import;Модульные системы вентиляции;;42,75;41,4;8;;;шт;;0;
Б0001454;Решетка радиаторная коричневая 450х133мм (4513РПк);Import;Модульные системы вентиляции;;68,4;66,24;1;;;шт;;0;
